describle,movie_name,movie_num,star,value
感情不分食草或者食肉。,你看起来好像很好吃,168,8.8,203674人评价
想你时你在闹海。,哪吒闹海,169,9.0,131481人评价
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,恋恋笔记本,170,8.5,387952人评价
迪士尼和皮克斯拿错剧本的产物。,无敌破坏王,171,8.7,309178人评价
松鼠才是角儿。,冰川时代,172,8.5,381731人评价
有一些东西不应该被遗忘。,二十二,173,8.7,170715人评价
永远看不腻的喜剧。,虎口脱险,174,8.9,141866人评价
大海啊，不全是水。,海洋,175,9.1,116866人评价
骨灰级歌舞片。,雨中曲,176,9.0,125714人评价
好的剧本是，就算你猜到了结局也猜不到全部。,未麻的部屋,177,8.9,148812人评价
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,模仿游戏,178,8.6,357627人评价
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,爆裂鼓手,179,8.7,326267人评价
惠及一生的美丽。,一个叫欧维的男人决定去死,180,8.8,197378人评价
养狗三日，便会对你终其一生。,忠犬八公物语,181,9.1,97819人评价
传奇，不是每个人都可以拥有。,燃情岁月,182,8.8,185960人评价
对爱的执着，可以超越一切。,人工智能,183,8.6,260219人评价
传奇的年代，醉人的童话。,天书奇谭,184,9.2,93177人评价
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,房间,185,8.8,231106人评价
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,魔女宅急便,186,8.6,282822人评价
爱上未来的你。 ,穿越时空的少女,187,8.6,251708人评价
不要企图在重复中寻找已经失去的爱。,恐怖游轮,188,8.4,462216人评价
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,黑客帝国3：矩阵革命,189,8.7,227809人评价
是枝裕和的家庭习作。,海街日记,190,8.7,216173人评价
中国式内在的美国电影。,魂断蓝桥,191,8.8,165482人评价
不可猜的青春迷笛。 ,猜火车,192,8.5,307537人评价
人生的N种可能性。,罗生门,193,8.8,176527人评价
来啊，互相伤害啊！,完美陌生人,194,8.5,335867人评价
写给影迷，动漫迷和游戏迷的一封情书。,头号玩家,195,8.7,831365人评价
故事的反转与反转，分裂电影的始祖。,惊魂记,196,8.9,127001人评价
王家卫是一种风格，张国荣是一个代表。,阿飞正传,197,8.5,297704人评价
